latitude,longitude,name
37.51166199999930, 127.05524315394200, 강남 MICE 관광특구
37.56754659999600, 127.00155665509800, 동대문 관광특구
37.56272999026450, 126.98369657813400, 명동 관광특구
37.53427714365310, 126.99489156932300, 이태원 관광특구
37.51376572610570, 127.09735973902300, 잠실 관광특구
37.56965120000040, 127.00145325393400, 종로·청계 관광특구
37.55196468590830, 126.92042309149100, 홍대 관광특구
37.57990000000000, 126.97680000000000, 경복궁·서촌마을
37.57251217508130, 126.97490193597000, 광화문·덕수궁
37.57763376587660, 126.99191519262900, 창덕궁·종묘
37.48163469999880, 126.87837455393700, 가산디지털단지역
37.49795170000010, 127.02343455393500, 강남역
37.54037180000030, 127.06509165393800, 건대입구역
37.50490550000010, 127.00079105393300, 고속터미널역
37.49398294083230, 127.01118070115600, 교대역
37.48521469999920, 126.89740995393800, 구로디지털단지역
37.55594599999970, 126.96394165509700, 서울역
37.50490920009590, 127.04549972448700, 선릉역
37.50969155534850, 126.88824971360800, 신도림역
37.48423130000020, 126.92132355509900, 신림역
37.55780782177280, 126.93689331765000, 신촌·이대역
37.50064310000010, 127.03219215393500, 역삼역
37.61906190000040, 126.91700805393400, 연신내역
37.52980000000000, 129.96470000000000, 용산역
37.56122770000100, 127.03306975393400, 왕십리역
37.57750829999980, 126.89210785509700, DMC(디지털미디어시티)
37.65497498297130, 127.05318825413300, 창동 신경제 중심지
37.51151638036190, 126.93314409363900, 노량진
37.57864535690740, 127.00614010126700, 낙산공원·이화마을
37.58135399999940, 126.98089965393600, 북촌한옥마을
37.51969229999850, 127.01890445393900, 가로수길
37.54321409999930, 127.05236635393500, 성수카페거리
37.64024869999960, 127.02266575393900, 수유리 먹자골목
37.64693747727040, 127.03230920355600, 쌍문동 맛집거리
37.52681380000100, 127.03507753848000, 압구정로데오거리
37.52843450171290, 126.89388500554400, 여의도
37.51722479999830, 126.89534565509600, 영등포 타임스퀘어
37.57424238077170, 126.98366355713800, 인사동·익선동
37.52408670056740, 126.97829597686100, 국립중앙박물관·용산가족공원
37.55115307071550, 126.98990546847700, 남산공원
37.52945170000060, 127.06649265393700, 뚝섬한강공원
37.55530180000000, 126.89109555393400, 망원한강공원
37.51000654923730, 126.99084163923900, 반포한강공원
37.62333550015540, 127.03655015389300, 북서울꿈의숲
37.42535397355030, 127.02481308029400, 서울대공원
37.54196449817510, 127.02988950989700, 서울숲공원
37.57180500021420, 126.85895676135300, 월드컵공원
37.51910029999960, 126.95685655509100, 이촌한강공원
37.51480219999740, 127.06944185393600, 잠실종합운동장
37.51888639999990, 127.08584255393500, 잠실한강공원
